x,y,z,U,V,W,urms,vrms,wrms,uv,uw,vw
0.6,1.3746,-0.6,1.7705,0.0020494,-0.0016212,1.018,0.70335,0.74473,-0.5115,0.029024,-0.0061535
0.6,1.5,-0.6,1.649,0.0038842,0.0011747,1.139,0.73382,0.83533,-0.59651,-0.013373,0.028965
0.6,1.6157,-0.6,1.5116,0.0018211,-0.0068495,1.317,0.78729,0.89807,-0.76555,0.0673,0.023499
0.6,1.7193,-0.6,1.3819,0.0064022,-0.003434,1.4459,0.86934,0.996,-0.95539,0.032157,-0.070208
0.6,1.809,-0.6,1.1993,0.012518,-0.0040315,1.5296,0.85704,1.0604,-0.93646,0.14676,0.042425
0.6,1.8829,-0.6,0.92222,0.019123,0.012973,1.6111,0.90266,1.1581,-1.097,0.36935,0.029933
0.6,1.9397,-0.6,0.29077,-0.0033325,-0.084774,1.32,0.52724,0.98772,-0.4966,0.086882,0.088754
0.6,1.9781,-0.6,0.00085092,-0.00029239,2.794e-05,0.06642,0.043348,0.050796,-0.00071319,0.00063177,-0.00045231
0.6,1.9976,-0.6,0.00045029,-2.3079e-05,-1.4785e-05,0.041787,0.0026725,0.030929,-2.8791e-05,0.00018834,-7.8494e-06
0.7,0,-0.6,2.5373e-15,-1.2584e-18,-2.7275e-17,2.1427e-13,7.8982e-16,1.0467e-14,-7.6089e-30,6.2385e-29,-8.9612e-31
0.7,0.0097319,-0.6,0.0001053,-4.7212e-05,0.0003059,0.039832,0.011266,0.037226,0.00011269,-0.00025946,0.00010568
0.7,0.038738,-0.6,0.0002143,-0.00039773,0.00040815,0.21977,0.079085,0.048746,0.001305,-0.00065225,0.00043975
0.7,0.086455,-0.6,0.61239,-0.05681,-0.056421,1.9572,0.69012,1.0886,1.0099,1.1414,0.085666
0.7,0.15195,-0.6,1.0725,-0.027274,-0.003127,1.5467,0.91352,1.0818,1.1373,0.091022,0.020066
0.7,0.23396,-0.6,1.2896,-0.015897,0.001588,1.5472,0.86945,0.99926,1.0869,0.10566,-0.044778
0.7,0.33087,-0.6,1.4501,-0.006153,-0.00013392,1.3769,0.83441,0.94542,0.84414,0.0089617,-0.024112
0.7,0.44081,-0.6,1.5756,-0.0041593,-0.0097253,1.2658,0.78984,0.85601,0.74794,-0.0058639,-0.01231
0.7,0.56163,-0.6,1.7063,-0.0045922,-0.0027507,1.091,0.75196,0.77604,0.59116,0.010204,0.058912
0.7,0.69098,-0.6,1.8232,0.0013604,-0.0042577,0.94121,0.63389,0.70401,0.39434,-0.0089259,-0.018294
0.7,0.82635,-0.6,1.9117,-0.00088654,-0.0054713,0.77217,0.55077,0.56426,0.2414,-0.00048107,0.017622
0.7,0.9651,-0.6,1.9578,-0.00029288,-0.0026001,0.68482,0.51623,0.48469,0.05538,0.0016594,0.0083003
0.7,1.1045,-0.6,1.9454,0.00062036,-0.0048009,0.70311,0.52827,0.49326,-0.11283,-0.0036096,-0.010248
0.7,1.2419,-0.6,1.8773,0.00021776,-0.0019856,0.83654,0.57406,0.62262,-0.28766,-0.0074796,-0.010282
0.7,1.3746,-0.6,1.7711,0.00074354,0.00017111,1.0133,0.70607,0.75302,-0.51437,0.011084,0.02628
0.7,1.5,-0.6,1.6472,0.0036379,-0.0062448,1.1575,0.76222,0.81705,-0.61923,0.02622,0.013416
0.7,1.6157,-0.6,1.5184,0.0040011,-0.0077302,1.3334,0.78792,0.8749,-0.7282,0.041096,0.023255
0.7,1.7193,-0.6,1.3836,0.01246,0.00041329,1.4423,0.87767,0.96189,-0.92063,-0.022518,-0.097879
0.7,1.809,-0.6,1.2012,0.016858,-0.0021673,1.5479,0.89123,1.0457,-1.0182,0.18601,0.060301
0.7,1.8829,-0.6,0.95526,0.046266,-0.0040223,1.4638,0.91478,1.1587,-0.91496,0.20226,-0.019858
0.7,1.9397,-0.6,0.13891,-0.0050199,-0.079647,1.7509,0.4546,0.71932,-0.36147,1.6148,-0.017554
0.7,1.9781,-0.6,0.00013836,0.00016928,0.00032665,0.045309,0.033901,0.041442,-0.00033521,-0.00029407,0.00033326
0.7,1.9976,-0.6,9.0468e-05,1.0471e-05,0.00024867,0.032,0.0021147,0.029714,-1.6489e-05,-0.00016996,1.6198e-05
0.8,0,-0.6,2.4987e-15,-1.278e-18,4.0913e-18,2.1415e-13,7.9614e-16,1.0435e-14,4.8284e-30,-1.5833e-30,3.4219e-32
0.8,0.0097319,-0.6,-0.00031581,5.3084e-07,0.00034433,0.050224,0.016036,0.038989,0.00020478,0.00013551,-0.00013661
0.8,0.038738,-0.6,-0.012769,0.0040025,0.0084318,0.3921,0.18296,0.26121,-0.006871,-0.073737,0.02454
0.8,0.086455,-0.6,0.52156,0.025488,0.021962,2.0231,0.82483,1.097,0.90394,0.18766,-0.11513
0.8,0.15195,-0.6,1.0791,0.0019891,-0.0042361,1.5412,0.90439,1.117,1.0057,0.31055,0.045315
0.8,0.23396,-0.6,1.2871,-0.00093792,0.0010455,1.5114,0.86007,1.0384,0.94326,0.089669,-0.036493
0.8,0.33087,-0.6,1.4493,-0.0013329,0.0059349,1.3646,0.87056,0.9347,0.87496,0.052668,-0.061824
0.8,0.44081,-0.6,1.5713,-0.0069687,0.0051426,1.2769,0.77354,0.89006,0.75114,0.028003,0.037875
0.8,0.56163,-0.6,1.703,-0.0053674,-0.0030244,1.0951,0.73527,0.79397,0.63742,0.040021,-0.030482
0.8,0.69098,-0.6,1.817,-0.0047853,-0.0018073,0.96292,0.64581,0.69573,0.37117,-0.0172,0.023055
0.8,0.82635,-0.6,1.9145,-0.00022217,-0.0067496,0.76942,0.53607,0.58209,0.20541,0.028948,0.0040972
0.8,0.9651,-0.6,1.9567,-0.00040613,-0.00093764,0.6642,0.52285,0.48735,0.054721,-0.00065026,-0.0078584
0.8,1.1045,-0.6,1.9443,0.00058544,-0.0040317,0.70702,0.51076,0.50787,-0.12697,-0.014901,-0.002504
0.8,1.2419,-0.6,1.8761,0.0013175,-0.00066273,0.86409,0.57986,0.60304,-0.26135,-0.0033088,0.015161
0.8,1.3746,-0.6,1.77,0.0078526,-0.00065906,1.0036,0.6745,0.74949,-0.4662,-0.0087426,-0.019445
0.8,1.5,-0.6,1.6453,0.003151,-0.0079582,1.1649,0.74199,0.85806,-0.62434,0.092555,0.011429
0.8,1.6157,-0.6,1.5204,0.0073908,0.0048449,1.3276,0.83113,0.88748,-0.81685,0.066874,-0.034739
0.8,1.7193,-0.6,1.385,0.001368,0.009749,1.4403,0.85172,0.98171,-0.86035,0.046771,-0.022599
0.8,1.809,-0.6,1.2028,0.002142,-0.00024784,1.5512,0.87948,1.0317,-1.0207,0.10668,-0.037135
0.8,1.8829,-0.6,0.9489,-0.0095399,0.0044723,1.5992,0.84051,1.1744,-0.98106,0.31268,-0.011868
0.8,1.9397,-0.6,0.066783,0.0071185,0.068637,1.983,0.57319,0.79376,-0.47724,-1.0117,-0.044892
0.8,1.9781,-0.6,-0.00042221,8.8215e-05,0.00046731,0.060169,0.052723,0.04929,-0.00094823,-0.00024131,-0.0010099
0.8,1.9976,-0.6,-0.00024903,3.2486e-06,0.00027323,0.039994,0.0029648,0.030613,-3.0515e-05,9.5179e-05,-1.812e-05
0.9,0,-0.6,2.5591e-15,-6.1128e-18,2.6471e-17,2.142e-13,7.7386e-16,1.0428e-14,-6.808e-30,1.2143e-28,3.2836e-31
0.9,0.0097319,-0.6,0.00060812,0.00011549,0.00011574,0.056166,0.021973,0.040974,1.9869e-05,0.00017378,0.00021736
0.9,0.038738,-0.6,0.0016242,-0.00025549,-0.0012541,0.29231,0.23938,0.22601,0.039703,0.026393,0.016093
0.9,0.086455,-0.6,0.61247,-0.0090428,0.034501,1.6357,0.89879,1.222,1.3614,0.010116,-0.10446
