x,y,c,U,V,urms,vrms,uv
1.3,1.809017,0,1.182804,0.000685117,1.547123,0.8930571,0.9752141
1.3,1.882948,0,0.9371322,-0.005050764,1.592946,0.8900335,1.118167
1.3,1.939693,0,0.5654566,-0.0295199,1.859478,0.7924039,1.300995
1.3,1.978148,0,0.0004112947,-0.001427395,0.2227144,0.1668027,0.03703205
1.3,1.997564,0,1.928664e-05,-5.708837e-05,0.07766524,0.007843541,0.0003105385
1.4,0,0,2.503766e-15,3.87546e-18,2.137568e-13,7.834343e-16,5.715609e-30
1.4,0.009731931,0,0.0002231081,-9.607994e-05,0.08551385,0.02065889,0.0002040474
1.4,0.0387383,0,0.001650825,-0.00513953,0.3664255,0.2287223,0.01514455
1.4,0.08645454,0,0.780561,-0.01592134,1.490974,0.8284295,-0.8829627
1.4,0.1519519,0,1.058482,-0.01696673,1.564713,0.8753171,-1.154635
1.4,0.2339556,0,1.271044,-0.0155874,1.489447,0.8961335,-1.07446
1.4,0.3308694,0,1.43728,-0.008997591,1.358939,0.8589701,-0.8773853
1.4,0.4408071,0,1.577123,-0.005358786,1.241981,0.8106456,-0.7478125
1.4,0.5616289,0,1.70473,-0.004315884,1.128157,0.7103545,-0.5952059
1.4,0.690983,0,1.820102,0.0004714677,0.975614,0.6535048,-0.3777999
1.4,0.8263518,0,1.91521,5.450402e-05,0.783578,0.5846686,-0.2532828
